Occupation Title,Occupation Code,Employment 2024,Employment 2034,"Employment Change, 2024-2034","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average",Median Annual Wage 2024,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode,SOC_Code,SOC_Major,Occupation_Clean,Occupation_Category,AI_Theoretical_Exposure,AI_Observed_Exposure,AI_Automation_Gap
"Radio, cellular, and tower equipment installers and repairers    * Radio Frequency Technician* Radio Mechanic* Radio Repairer* Two-Way Radio Technician","=""49-2021""",11.7,12.7,1.0,8.6,1.2,64190.0,Associate's degree,4,,4,Moderate-term on-the-job training,4,49-2021,49,"Radio, cellular, and tower equipment installers and repairers",Installation & Maintenance,32.4,2.6,29.799999999999997
"Surgeons, all other    * Aviation Medicine Specialist* Brain Surgeon* Cardiac Surgeon* Cardiovascular Surgeon* Colorectal Surgeon* Neurological Surgeon* Neurosurgeon* Otolaryngologist* Plastic Surgeon* Reconstructive Surgeon* Surgical Oncologist* Thoracic Surgeon* Urologist* Vascular Surgeon","=""29-1249""",25.1,26.0,1.0,3.9,0.6,,Doctoral or professional degree,1,,4,Internship/residency,1,29-1249,29,"Surgeons, all other",Healthcare Practitioners,65.4,7.2,58.2
Bioengineers and biomedical engineers    * Bio-Mechanical Engineer* Biochemical Engineer* Biomaterials Engineer* Biomedical Engineer* Dialysis Engineer* Genetic Engineer,"=""17-2031""",22.2,23.3,1.1,5.2,1.3,106950.0,Bachelor's degree,3,,4,,6,17-2031,17,Bioengineers and biomedical engineers,Architecture & Engineering,84.8,14.7,70.1
Credit counselors    * Credit Counselor* Debt Management Counselor* Student Financial Aid Counselor* Student Loan Counselor,"=""13-2071""",31.8,32.9,1.1,3.3,2.2,50480.0,Bachelor's degree,3,,4,Moderate-term on-the-job training,4,13-2071,13,Credit counselors,Business & Financial,94.3,27.5,66.8
Curators    * Collections Curator* Collections and Archives Director* Educational Institution Curator* Exhibitions and Collections Manager* Herbarium Curator* Museum Curator* Photography and Prints Curator,"=""25-4012""",15.1,16.2,1.1,7.0,1.8,61770.0,Master's degree,2,,4,,6,25-4012,25,Curators,Education & Training,72.8,11.5,61.3
"Health and safety engineers, except mining safety engineers and inspectors    * Fire Prevention Engineer* Fire Protection Engineer* Industrial Safety Engineer* Product Safety Engineer* Product Safety Test Engineer* System Safety Engineer","=""17-2111""",23.8,24.9,1.1,4.4,1.5,109660.0,Bachelor's degree,3,,4,,6,17-2111,17,"Health and safety engineers, except mining safety engineers and inspectors",Architecture & Engineering,84.8,14.7,70.1
Soil and plant scientists    * Agriculturist* Agronomist* Arboreal Scientist* Crop Nutrition Scientist* Floriculturist* Horticulturist* Plant Physiologist* Plant Scientist* Pomologist* Soil Fertility Extension Specialist* Soil Scientist* Viticulturist,"=""19-1013""",20.7,21.8,1.1,5.4,1.7,71410.0,Bachelor's degree,3,,4,,6,19-1013,19,Soil and plant scientists,"Life, Physical & Social Science",78.2,12.8,65.4
Funeral home managers    * Funeral Home Director* Funeral Home Manager* Funeral Service Manager,"=""11-9171""",32.1,33.4,1.3,4.1,2.6,76830.0,Associate's degree,4,Less than 5 years,2,,6,11-9171,11,Funeral home managers,Management,91.3,18.2,73.1
Industrial engineering technologists and technicians    * Industrial Engineering Technician* Industrial Engineering Technologist* Motion Study Technician* Production Control Technologist* Time Study Technician* Time Study Technologist,"=""17-3026""",74.6,75.9,1.3,1.7,6.3,64790.0,Associate's degree,4,,4,,6,17-3026,17,Industrial engineering technologists and technicians,Architecture & Engineering,84.8,14.7,70.1
Interpreters and translators    * American Sign Language Interpreter* Court Interpreter* Deaf Interpreter* Diplomatic Interpreter* Language Translator* Translator,"=""27-3091""",75.3,76.6,1.3,1.7,6.9,59440.0,Bachelor's degree,3,,4,,6,27-3091,27,Interpreters and translators,"Arts, Design, Media & Sports",83.7,19.3,64.4
Materials engineers    * Automotive Sheet Metal Engineer* Ceramic Engineer* Forensic Materials Engineer* Glass Science Engineer* Metallographer* Metallurgical Engineer* Metallurgist* Welding Engineer,"=""17-2131""",23.0,24.3,1.3,5.7,1.5,108310.0,Bachelor's degree,3,,4,,6,17-2131,17,Materials engineers,Architecture & Engineering,84.8,14.7,70.1
"Mathematical science teachers, postsecondary    * Actuarial Science Professor* Biostatistics Professor* Calculus Professor* Geometry Professor* Mathematics Professor* Statistical Methods Professor* Statistics Professor* Topology Professor","=""25-1022""",58.9,60.2,1.3,2.3,4.4,79350.0,Doctoral or professional degree,1,,4,,6,25-1022,25,"Mathematical science teachers, postsecondary",Education & Training,72.8,11.5,61.3
Orthotists and prosthetists    * American Board Certified Orthotist* Artificial Limb Fitter* Certified Orthotic Fitter* Certified Prosthetist/Orthotist* Licensed Prosthetist* Orthotic/Prosthetic Practitioner* Orthotist* Pedorthist* Prosthetist,"=""29-2091""",10.1,11.5,1.3,13.3,0.9,78310.0,Master's degree,2,,4,Internship/residency,1,29-2091,29,Orthotists and prosthetists,Healthcare Practitioners,65.4,7.2,58.2
Rehabilitation counselors    * Certified Rehabilitation Counselor* Coordinator of Rehabilitation Services* Psychosocial Rehabilitation Counselor* Veterans Rehabilitation Counselor* Vocational Rehabilitation Counselor* Vocational Rehabilitation Job Coach,"=""21-1015""",91.9,93.2,1.3,1.4,10.0,46110.0,Master's degree,2,,4,,6,21-1015,21,Rehabilitation counselors,Community & Social Service,67.5,8.4,59.1
Anesthesiologists    * Ambulatory Anesthesiologist* Anaesthesiologist* Anesthetist* Attending Anesthesiologist* Obstetrical Anesthesiologist* Staff Anesthetist,"=""29-1211""",45.3,46.7,1.4,3.2,1.3,,Doctoral or professional degree,1,,4,Internship/residency,1,29-1211,29,Anesthesiologists,Healthcare Practitioners,65.4,7.2,58.2
Civil engineering technologists and technicians    * Civil Engineering Technician* Civil Engineering Technologist* Concrete Engineering Technician* Geotechnical Engineering Technician* Highway Engineering Technician* Structural Engineering Technician* Transportation Engineering Technician,"=""17-3022""",64.9,66.2,1.4,2.1,5.5,64200.0,Associate's degree,4,,4,,6,17-3022,17,Civil engineering technologists and technicians,Architecture & Engineering,84.8,14.7,70.1
Audiologists    * Clinical Audiologist* Dispensing Audiologist* Educational Audiologist* Hearing Therapist* Licensed Audiologist* Pediatric Audiologist,"=""29-1181""",15.8,17.3,1.5,9.5,0.7,92120.0,Doctoral or professional degree,1,,4,,6,29-1181,29,Audiologists,Healthcare Practitioners,65.4,7.2,58.2
"Education administrators, all other","=""11-9039""",60.2,61.7,1.5,2.5,4.1,89040.0,Bachelor's degree,3,Less than 5 years,2,,6,11-9039,11,"Education administrators, all other",Management,91.3,18.2,73.1
Environmental engineers    * Air Pollution Control Engineer* Environmental Remediation Engineer* Hazardous Substances Engineer* Hazardous Waste Management Control Engineer* Pollution Control Engineer* Soil Engineer* Waste Management Engineer* Wastewater Treatment Engineer* Water Treatment Plant Engineer,"=""17-2081""",39.4,41.0,1.5,3.9,3.0,104170.0,Bachelor's degree,3,,4,,6,17-2081,17,Environmental engineers,Architecture & Engineering,84.8,14.7,70.1
Urban and regional planners    * City Planner* Community Development Planner* Regional Planner* Urban Planner,"=""19-3051""",44.7,46.2,1.5,3.4,3.4,83720.0,Master's degree,2,,4,,6,19-3051,19,Urban and regional planners,"Life, Physical & Social Science",78.2,12.8,65.4
"Education teachers, postsecondary    * Literacy Education Professor* Mathematics Education Professor* Primary Education Professor* Science Education Professor* Secondary Education Professor* Special Education Professor","=""25-1081""",74.9,76.5,1.6,2.1,5.6,72090.0,Doctoral or professional degree,1,Less than 5 years,2,,6,25-1081,25,"Education teachers, postsecondary",Education & Training,72.8,11.5,61.3
"Environmental science and protection technicians, including health    * Air Quality Technician* Certified Indoor Environmentalist* Environmental Science Technician* Infectious Waste Technician* Pollution Control Technician* Public Health Sanitarian Technician* Radon Inspector","=""19-4042""",40.4,42.1,1.6,4.0,5.6,49490.0,Associate's degree,4,,4,,6,19-4042,19,"Environmental science and protection technicians, including health","Life, Physical & Social Science",78.2,12.8,65.4
Film and video editors    * Cue Selector* Electronic News Gathering Editor* Film Editor* Movie Editor* News Video Editor* News Videotape Editor* Tape Editor* Television News Video Editor* Video Tape Transferrer,"=""27-4032""",43.5,45.2,1.7,4.0,3.6,70980.0,Bachelor's degree,3,,4,,6,27-4032,27,Film and video editors,"Arts, Design, Media & Sports",83.7,19.3,64.4
Psychiatrists    * Addiction Psychiatrist* Child Psychiatrist* Clinical Psychiatrist* Forensic Psychiatrist* Geriatric Psychiatrist* Neuropsychiatrist* Pediatric Psychiatrist* Staff Psychiatrist,"=""29-1223""",27.1,28.8,1.7,6.1,0.9,,Doctoral or professional degree,1,,4,Internship/residency,1,29-1223,29,Psychiatrists,Healthcare Practitioners,65.4,7.2,58.2
Social science research assistants    * City Planning Aide* Economic Research Assistant* Economist Research Assistant* Historian Research Assistant* Political Science Research Assistant* Psychologist Research Assistant* Sociology Research Assistant,"=""19-4061""",40.6,42.3,1.8,4.4,5.2,58040.0,Bachelor's degree,3,,4,,6,19-4061,19,Social science research assistants,"Life, Physical & Social Science",78.2,12.8,65.4
"Agents and business managers of artists, performers, and athletes    * Artist Manager* Artist Representative* Author's Agent* Band Manager* Booking Agent* Booking Manager* Fight Manager* Literary Agent* Modeling Agent* Talent Agent* Talent Manager* Theatrical Agent","=""13-1011""",21.4,23.2,1.9,8.7,2.2,96310.0,Bachelor's degree,3,Less than 5 years,2,,6,13-1011,13,"Agents and business managers of artists, performers, and athletes",Business & Financial,94.3,27.5,66.8
Cardiovascular technologists and technicians    * Cardiac Catheterization Laboratory Technologist* Cardiac Catheterization Technologist* Cardiac Monitor Technician* Cardiac Technician* Cardiopulmonary Technologist* Cardiovascular Interventional Technologist* Cardiovascular Technologist* EKG Technician* Electrocardiogram Technician* Electrocardiograph Operator* Pulmonary Function Technologist,"=""29-2031""",64.7,66.6,1.9,3.0,3.8,67260.0,Associate's degree,4,,4,,6,29-2031,29,Cardiovascular technologists and technicians,Healthcare Practitioners,65.4,7.2,58.2
Fundraising managers    * Donor Relations Manager* Foundation Director* Funding Coordinator* Fundraising Director,"=""11-2033""",45.7,47.6,1.9,4.2,3.6,123480.0,Bachelor's degree,3,5 years or more,1,,6,11-2033,11,Fundraising managers,Management,91.3,18.2,73.1
"Psychology teachers, postsecondary    * Applied Psychology Professor* Child Development Professor* Clinical Psychology Professor* Educational Psychology Professor* Human Relations Professor* Industrial Psychology Professor* Industrial/Organizational Psychology Professor* Psychology Professor","=""25-1066""",52.5,54.4,1.9,3.6,4.0,80330.0,Doctoral or professional degree,1,,4,,6,25-1066,25,"Psychology teachers, postsecondary",Education & Training,72.8,11.5,61.3
"Educational instruction and library workers, all other    * Aptitude Test (SAT) Grader* General Educational Development (GED¿) Examiner","=""25-9099""",132.0,134.0,2.0,1.5,12.5,48400.0,Bachelor's degree,3,,4,,6,25-9099,25,"Educational instruction and library workers, all other",Education & Training,72.8,11.5,61.3
Epidemiologists    * Clinical Epidemiologist* Communicable Disease Specialist* Environmental Epidemiologist* Epidemiology Investigator* Malariologist* Medical Epidemiologist* Pharmacoepidemiologist,"=""19-1041""",12.3,14.3,2.0,16.2,0.8,83980.0,Master's degree,2,,4,,6,19-1041,19,Epidemiologists,"Life, Physical & Social Science",78.2,12.8,65.4
"Art, drama, and music teachers, postsecondary    * Ballet Professor* Graphic Design Professor* Media Arts Professor* Music Professor* Photography Professor* Piano Performance and Pedagogy Professor* Piano Professor* Scene and Lighting Design Lecturer* Stagecraft Professor* Theatre Professor* Voice Professor","=""25-1121""",122.8,124.8,2.1,1.7,9.0,80190.0,Master's degree,2,,4,,6,25-1121,25,"Art, drama, and music teachers, postsecondary",Education & Training,72.8,11.5,61.3
Biochemists and biophysicists    * Biochemist* Biological Chemist* Biophysicist* Clinical Biochemist* Physical Biochemist,"=""19-1021""",35.6,37.6,2.1,5.8,2.9,103650.0,Doctoral or professional degree,1,,4,,6,19-1021,19,Biochemists and biophysicists,"Life, Physical & Social Science",78.2,12.8,65.4
Chemical technicians    * Assayer* Chemical Laboratory Technician* Inorganic Chemical Technician,"=""19-4031""",57.0,59.0,2.1,3.7,6.7,57790.0,Associate's degree,4,,4,Moderate-term on-the-job training,4,19-4031,19,Chemical technicians,"Life, Physical & Social Science",78.2,12.8,65.4
Exercise physiologists    * Applied Exercise Physiologist* Clinical Exercise Physiologist* Kinesiotherapist,"=""29-1128""",23.9,26.1,2.3,9.5,1.7,58160.0,Bachelor's degree,3,,4,,6,29-1128,29,Exercise physiologists,Healthcare Practitioners,65.4,7.2,58.2
"Computer science teachers, postsecondary    * C++ Professor* Computer Information Systems Professor* Computer Programming Professor* IT Professor* Information Systems Professor* Information Technology Professor* Java Programming Professor","=""25-1021""",44.8,47.2,2.4,5.3,3.5,96690.0,Doctoral or professional degree,1,,4,,6,25-1021,25,"Computer science teachers, postsecondary",Education & Training,72.8,11.5,61.3
General internal medicine physicians    * General Internal Medicine Doctor* General Internist* Internal Medicine Physician* Internist,"=""29-1216""",73.2,75.6,2.4,3.3,2.1,236350.0,Doctoral or professional degree,1,,4,Internship/residency,1,29-1216,29,General internal medicine physicians,Healthcare Practitioners,65.4,7.2,58.2
Librarians and media collections specialists    * Acquisitions Librarian* Audio-Visual Collections Coordinator* Catalog Librarian* Children's Librarian* Collection Development Librarian* College Librarian* Electronic Resources Librarian* Film Librarian* Government Documents Librarian* High School Librarian* Interlibrary Loan Services Librarian* Law Librarian* Library Media Specialist* Medical Librarian* Multimedia Services Coordinator* Music Librarian* Periodicals Librarian* Record Librarian* Reference Librarian* Research Librarian* School Librarian* Serials Librarian* Technical Services Librarian* University Librarian* Youth Services Librarian,"=""25-4022""",142.1,144.5,2.4,1.7,13.5,64320.0,Master's degree,2,,4,,6,25-4022,25,Librarians and media collections specialists,Education & Training,72.8,11.5,61.3
Probation officers and correctional treatment specialists    * Correctional Treatment Specialist* Juvenile Probation Officer* Parole Agent* Parole Officer* Probation Officer,"=""21-1092""",92.3,94.8,2.4,2.6,7.9,64520.0,Bachelor's degree,3,,4,Moderate-term on-the-job training,4,21-1092,21,Probation officers and correctional treatment specialists,Community & Social Service,67.5,8.4,59.1
"Psychologists, all other    * Developmental Psychologist* Experimental Psychologist* Forensic Psychologist* Neuropsychologist* Psychotherapist* Rehabilitation Psychologist* Social Psychologist* Sports Psychologist","=""19-3039""",55.3,57.7,2.4,4.3,3.9,117580.0,Master's degree,2,,4,Internship/residency,1,19-3039,19,"Psychologists, all other","Life, Physical & Social Science",78.2,12.8,65.4
Surveyors    * City Surveyor* County Surveyor* Geodetic Surveyor* Geophysical Prospecting Surveyor* Land Surveyor* Mine Surveyor* Mineral Surveyor* Registered Land Surveyor* Topographical Surveyor,"=""17-1022""",56.1,58.6,2.5,4.4,3.9,72740.0,Bachelor's degree,3,,4,Internship/residency,1,17-1022,17,Surveyors,Architecture & Engineering,84.8,14.7,70.1
Clergy    * Cantor* Children's Pastor* College Chaplain* Hebrew Cantor* Hospital Chaplain* Imam* Minister* Parish Priest* Pastor* Priest* Rabbi* Reverend* Vicar* Youth Pastor,"=""21-2011""",262.0,264.6,2.6,1.0,23.0,60820.0,Bachelor's degree,3,,4,Moderate-term on-the-job training,4,21-2011,21,Clergy,Community & Social Service,67.5,8.4,59.1
Forensic science technicians    * Ballistic Technician* Ballistician* Ballistics Expert* Crime Lab Technician* Crime Scene Technician* Criminalist Technician* Fingerprint Expert* Forensic Analyst* Handwriting Expert* Trace Evidence Technician* Wildlife Forensic Geneticist,"=""19-4092""",20.7,23.3,2.6,12.8,2.9,67440.0,Bachelor's degree,3,,4,Moderate-term on-the-job training,4,19-4092,19,Forensic science technicians,"Life, Physical & Social Science",78.2,12.8,65.4
Purchasing managers    * Contract Administrator* Contracting Manager* Director of Strategic Sourcing* Procurement Manager* Purchasing Director* Sourcing Manager,"=""11-3061""",83.5,86.1,2.6,3.1,6.4,139510.0,Bachelor's degree,3,5 years or more,1,,6,11-3061,11,Purchasing managers,Management,91.3,18.2,73.1
Statisticians    * Analytical Statistician* Applied Statistician* Biometrician* Biostatistician* Environmental Statistician* Mathematical Statistician* Research Biostatistician* Sampling Expert* Statistical Analyst* Statistical Reporting Analyst* Survey Statistician* Time Study Statistician,"=""15-2041""",32.2,34.9,2.7,8.5,2.0,103300.0,Master's degree,2,,4,,6,15-2041,15,Statisticians,Computer & Mathematical,94.3,33.0,61.3
Training and development managers    * E-Learning Manager* Employee Development Director* Employee Development Manager* Labor Training Manager,"=""11-3131""",46.4,49.2,2.7,5.8,3.8,127090.0,Bachelor's degree,3,5 years or more,1,,6,11-3131,11,Training and development managers,Management,91.3,18.2,73.1
Computer network support specialists    * Network Diagnostic Support Specialist* Network Support Technician* Network Technician,"=""15-1231""",152.7,155.5,2.8,1.8,9.6,73340.0,Associate's degree,4,,4,Moderate-term on-the-job training,4,15-1231,15,Computer network support specialists,Computer & Mathematical,94.3,33.0,61.3
Interior designers    * Certified Kitchen Designer* Furniture Arranger* Home Lighting Adviser* Interior Decorator* Interior Designer* Kitchen Designer* Kitchen and Bath Designer,"=""27-1025""",87.1,89.9,2.8,3.2,7.8,63490.0,Bachelor's degree,3,,4,,6,27-1025,27,Interior designers,"Arts, Design, Media & Sports",83.7,19.3,64.4
Biological technicians    * Bacteriology Technician* Biochemistry Technician* Biology Laboratory Assistant* Marine Fisheries Technician* Microbiology Technician* Wildlife Technician,"=""19-4021""",82.7,85.6,2.9,3.5,9.1,52000.0,Bachelor's degree,3,,4,,6,19-4021,19,Biological technicians,"Life, Physical & Social Science",78.2,12.8,65.4
"Directors, religious activities and education    * Campus Ministry Director* Christian Education Minister* Education Minister* Parish Religious Education Director* Religious Activities Director* Religious Education Coordinator* Religious Education Director* Student Ministries Director* Youth Ministry Director","=""21-2021""",138.9,141.8,2.9,2.1,13.8,54840.0,Bachelor's degree,3,Less than 5 years,2,,6,21-2021,21,"Directors, religious activities and education",Community & Social Service,67.5,8.4,59.1
Instructional coordinators    * Curriculum Coordinator* Curriculum Designer* Curriculum Specialist* Curriculum and Assessment Director* Curriculum and Instruction Director* Instructional Materials Director* School Curriculum Developer* Special Education Curriculum Specialist,"=""25-9031""",232.6,235.5,2.9,1.3,21.9,74720.0,Master's degree,2,5 years or more,1,,6,25-9031,25,Instructional coordinators,Education & Training,72.8,11.5,61.3
"Life, physical, and social science technicians, all other    * Meteorological Aide* Polygraph Examiner","=""19-4099""",83.2,86.2,2.9,3.5,10.6,60130.0,Associate's degree,4,,4,,6,19-4099,19,"Life, physical, and social science technicians, all other","Life, Physical & Social Science",78.2,12.8,65.4
Property appraisers and assessors,"=""13-2020""",77.3,80.2,2.9,3.8,6.3,65420.0,Bachelor's degree,3,,4,Long-term on-the-job training,3,13-2020,13,Property appraisers and assessors,Business & Financial,94.3,27.5,66.8
Family medicine physicians    * Board Certified Family Physician* Family Physician* Family Practice Medical Doctor* Family Practice Physician* Family Practitioner* GP Doctor* General Practitioner,"=""29-1215""",116.0,119.1,3.1,2.7,3.3,238380.0,Doctoral or professional degree,1,,4,Internship/residency,1,29-1215,29,Family medicine physicians,Healthcare Practitioners,65.4,7.2,58.2
Magnetic resonance imaging technologists    * Computed Tomography/Magnetic Resonance Imaging (CT/MRI) Technologist* MRI Technologist,"=""29-2035""",44.1,47.2,3.1,7.1,2.6,88180.0,Associate's degree,4,Less than 5 years,2,,6,29-2035,29,Magnetic resonance imaging technologists,Healthcare Practitioners,65.4,7.2,58.2
Sales engineers    * Aerospace Products Sales Engineer* Missile Navigation Systems Sales Engineer* Nuclear Equipment Sales Engineer,"=""41-9031""",56.8,59.9,3.1,5.5,5.0,121520.0,Bachelor's degree,3,,4,Moderate-term on-the-job training,4,41-9031,41,Sales engineers,Sales,76.5,15.3,61.2
"Social workers, all other    * Adult Protective Service Social Worker* Criminal Justice Social Worker* Forensic Social Worker* Sexual Assault Social Worker","=""21-1029""",81.0,84.1,3.1,3.9,7.0,69480.0,Bachelor's degree,3,,4,,6,21-1029,21,"Social workers, all other",Community & Social Service,67.5,8.4,59.1
Health education specialists    * Certified Diabetes Educator* Certified Health Education Specialist* Community Health Education Coordinator* Diabetes Educator* Health Educator* Public Health Educator,"=""21-1091""",71.8,75.0,3.2,4.5,7.9,63000.0,Bachelor's degree,3,,4,,6,21-1091,21,Health education specialists,Community & Social Service,67.5,8.4,59.1
"Engineers, all other    * Calibration Engineer* Coastal Engineer* Corrosion Control Engineer* Mathematical Engineer* Mechatronics Engineer* Metrologist* Ocean Engineer* Optical Engineer* Ordnance Engineer* Photonics Engineer* Salvage Engineer","=""17-2199""",158.8,162.1,3.3,2.1,9.3,117750.0,Bachelor's degree,3,,4,,6,17-2199,17,"Engineers, all other",Architecture & Engineering,84.8,14.7,70.1
"Entertainment and recreation managers, except gambling    * Amusement Park Manager* Boat Club Manager* Fitness Club Manager* Golf Club Manager* Marina Club Manager* Skating Rink Manager* Ski Resort Manager* Tennis Club Manager* Theme Park Manager","=""11-9072""",43.2,46.5,3.3,7.7,5.5,77180.0,Bachelor's degree,3,Less than 5 years,2,,6,11-9072,11,"Entertainment and recreation managers, except gambling",Management,91.3,18.2,73.1
"Postsecondary teachers, all other    * Flight Simulator Instructor* Military Science Instructor* Packaging Professor","=""25-1199""",183.4,186.8,3.4,1.8,13.5,78490.0,Doctoral or professional degree,1,,4,,6,25-1199,25,"Postsecondary teachers, all other",Education & Training,72.8,11.5,61.3
Athletic trainers    * Certified Athletic Trainer* Clinical Athletic Instructor* Resident Athletic Trainer,"=""29-9091""",33.9,37.6,3.8,11.1,2.4,60250.0,Master's degree,2,,4,,6,29-9091,29,Athletic trainers,Healthcare Practitioners,65.4,7.2,58.2
Optometrists    * Doctor of Optometry,"=""29-1041""",47.8,51.6,3.8,8.0,2.4,134830.0,Doctoral or professional degree,1,,4,,6,29-1041,29,Optometrists,Healthcare Practitioners,65.4,7.2,58.2
"Airline pilots, copilots, and flight engineers    * Airline Captain* Airline Pilot* Airline Pilot Flight Instructor* Airline Pilot In Command* Airline Pilot Second In Command* Airline Transport Pilot* Charter Pilot (Air Transport Pilot Certificate Required)* Charter Pilot (Airline)* Regional Airline Pilot","=""53-2011""",100.0,103.9,3.9,3.9,11.7,226600.0,Bachelor's degree,3,Less than 5 years,2,Moderate-term on-the-job training,4,53-2011,53,"Airline pilots, copilots, and flight engineers",Transportation,12.1,1.0,11.1
Financial risk specialists    * Financial Risk Analyst,"=""13-2054""",60.5,64.4,3.9,6.5,4.8,106000.0,Bachelor's degree,3,,4,,6,13-2054,13,Financial risk specialists,Business & Financial,94.3,27.5,66.8
Natural sciences managers    * Agricultural Research Director* Geochemical Manager* Geophysical Manager* Ocean Program Administrator,"=""11-9121""",104.3,108.2,3.9,3.7,8.5,161180.0,Bachelor's degree,3,5 years or more,1,,6,11-9121,11,Natural sciences managers,Management,91.3,18.2,73.1
"Education administrators, postsecondary    * Continuing Education Director* Director of Student Services* Graduate School Dean* Graduate Studies Dean* Provost* University Dean* University Department Chair","=""11-9033""",226.6,230.5,4.0,1.7,15.1,103960.0,Master's degree,2,Less than 5 years,2,,6,11-9033,11,"Education administrators, postsecondary",Management,91.3,18.2,73.1
"Environmental scientists and specialists, including health    * Ecological Modeler* Environmental Analyst* Environmental Scientist* Hazardous Substances Scientist* Health Environmentalist* Water Pollution Scientist* Water Quality Analyst","=""19-2041""",90.3,94.3,4.0,4.4,8.5,80060.0,Bachelor's degree,3,,4,,6,19-2041,19,"Environmental scientists and specialists, including health","Life, Physical & Social Science",78.2,12.8,65.4
"Engineering teachers, postsecondary    * Aeronautical Engineering Professor* Ceramic Engineering Professor* Chemical Engineering Professor* Civil Engineering Professor* Electrical Engineering Professor* Electronics Engineering Professor* Industrial Engineering Professor* Manufacturing Engineering Professor* Marine Engineering Professor* Mechanical Engineering Professor* Petroleum Engineering Professor","=""25-1032""",50.3,54.4,4.1,8.1,4.1,106120.0,Doctoral or professional degree,1,,4,,6,25-1032,25,"Engineering teachers, postsecondary",Education & Training,72.8,11.5,61.3
Public relations managers    * Communication Manager* Public Affairs Director* Public Information Director* Public Information Relations Manager* Public Relations Director* Public Relations Manager* Publicity Director,"=""11-2032""",83.2,87.3,4.1,5.0,6.6,138520.0,Bachelor's degree,3,5 years or more,1,,6,11-2032,11,Public relations managers,Management,91.3,18.2,73.1
Chemists    * Agricultural Chemist* Analytical Chemist* Bench Chemist* Food Chemist* Formulary Chemist* Industrial Chemist* Inorganic Chemist* Laboratory Chemist* Nuclear Chemist* Organic Chemist* Quality Control Chemist* Research and Development Chemist,"=""19-2031""",86.8,91.0,4.3,4.9,6.3,84150.0,Bachelor's degree,3,,4,,6,19-2031,19,Chemists,"Life, Physical & Social Science",78.2,12.8,65.4
"Financial specialists, all other    * Bail Bondsman* Bondsman* Executor of Estate","=""13-2099""",137.1,141.4,4.3,3.1,10.3,80190.0,Bachelor's degree,3,,4,,6,13-2099,13,"Financial specialists, all other",Business & Financial,94.3,27.5,66.8
Aerospace engineers    * Aerodynamics Engineer* Aeronautical Engineer* Aircraft Design Engineer* Aircraft Designer* Aircraft Engineer* Astronautical Engineer* Flight Systems Test Engineer* Flight Test Engineer* Wind Tunnel Engineer,"=""17-2011""",71.6,75.9,4.4,6.1,4.5,134830.0,Bachelor's degree,3,,4,,6,17-2011,17,Aerospace engineers,Architecture & Engineering,84.8,14.7,70.1
Architectural and civil drafters    * Architectural Drafter* Building Drafter* Civil Computer-Aided Design and Drafting Technician* Civil Drafter* Structural Drafter,"=""17-3011""",110.5,115.1,4.6,4.1,10.0,64280.0,Associate's degree,4,,4,,6,17-3011,17,Architectural and civil drafters,Architecture & Engineering,84.8,14.7,70.1
Industrial production managers    * Industrial Production Manager* Manufacturing Director* Plant Chief* Plant Manager* Plant Superintendent* Production Control Manager,"=""11-3051""",241.9,246.5,4.6,1.9,17.1,121440.0,Bachelor's degree,3,5 years or more,1,,6,11-3051,11,Industrial production managers,Management,91.3,18.2,73.1
Nurse anesthetists    * Certified Registered Nurse Anesthetist* Certified Registered Nurse Anesthetist (CRNA)* DNAP* Doctor of Nurse Anesthesia Practice,"=""29-1151""",53.8,58.5,4.6,8.6,2.7,223210.0,Master's degree,2,,4,,6,29-1151,29,Nurse anesthetists,Healthcare Practitioners,65.4,7.2,58.2
"Architects, except landscape and naval    * Building Architect* Building Architectural Designer* Structural Architect","=""17-1011""",123.6,128.4,4.8,3.9,7.8,96690.0,Bachelor's degree,3,,4,Internship/residency,1,17-1011,17,"Architects, except landscape and naval",Architecture & Engineering,84.8,14.7,70.1
"Biological science teachers, postsecondary    * Anatomy Professor* Bacteriology Professor* Biochemistry Professor* Botany Professor* Embryology Professor* Microbiology Professor* Zoology Professor","=""25-1042""",66.0,70.8,4.8,7.3,5.4,83460.0,Doctoral or professional degree,1,,4,,6,25-1042,25,"Biological science teachers, postsecondary",Education & Training,72.8,11.5,61.3
Writers and authors    * Advertising Copy Writer* Advertising Copywriter* Author* Biographer* Copy Writer* Copywriter* Lyricist* Novelist* Playwright* Poet* Program Writer* Radio Script Writer* Screen Writer* Short Story Writer* Song Lyricist* Television Writer* Verse Writer,"=""27-3043""",135.4,140.3,4.9,3.6,13.4,72270.0,Bachelor's degree,3,,4,Long-term on-the-job training,3,27-3043,27,Writers and authors,"Arts, Design, Media & Sports",83.7,19.3,64.4
Dietitians and nutritionists    * Clinical Dietitian* Dietitian* Nutritionist* Pediatric Dietician* Public Health Dietitian* Public Health Nutritionist* Research Dietitian* Sports Nutritionist* Therapeutic Dietitian,"=""29-1031""",90.9,95.9,5.0,5.5,6.2,73850.0,Bachelor's degree,3,,4,Internship/residency,1,29-1031,29,Dietitians and nutritionists,Healthcare Practitioners,65.4,7.2,58.2
